model,stem,arm,L,iou,precision,recall,bytes,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3
clean_base,7606,GRAPH7,5,0.9120258272800645,0.9424520433694745,0.9658119658119658,156.0,4,4,247.75000000000003,250.59292911256327,4.915896930447334,4.8464052977574115,6,6,1,1,0,0,1.0,0.8888888888888888
clean_base,7627,SEG,0,0.9084778420038536,0.9496475327291037,0.9544534412955465,,4,4,151.12489168102786,171.1959594928933,6.216982163567129,5.894639058863102,4,8,0,2,0,0,0.0,0.6666666666666665
clean_base,7627,SEG,5,0.9084778420038536,0.9496475327291037,0.9544534412955465,,4,4,151.12489168102786,155.12489168102786,6.216982163567129,6.113301485366763,4,4,0,0,0,0,1.0,0.875
clean_base,7627,GRAPH7,0,0.9084778420038536,0.9496475327291037,0.9544534412955465,118.0,4,4,151.5,171.1959594928933,6.174175025593896,5.894639058863102,4,8,0,2,0,0,0.0,0.6666666666666665
clean_base,7627,GRAPH7,5,0.9084778420038536,0.9496475327291037,0.9544534412955465,118.0,4,4,151.5,155.12489168102786,6.174175025593896,6.113301485366763,4,4,0,0,0,0,1.0,0.875
clean_base,7662,SEG,0,0.8835249042145594,0.915079365079365,0.9624373956594324,,5,5,193.26702730475878,215.50966799187805,6.080980881804462,5.58769058565158,5,7,0,1,0,0,0.0,0.5714285714285713
clean_base,7662,SEG,5,0.8835249042145594,0.915079365079365,0.9624373956594324,,5,5,193.26702730475878,208.26702730475878,6.080980881804462,5.643803708323693,5,5,0,0,0,0,1.0,0.7
clean_base,7662,GRAPH7,0,0.8835249042145594,0.915079365079365,0.9624373956594324,139.0,5,5,193.5,215.50966799187805,6.061274477687289,5.58769058565158,5,7,0,1,0,0,0.0,0.5714285714285713
clean_base,7662,GRAPH7,5,0.8835249042145594,0.915079365079365,0.9624373956594324,139.0,5,5,193.5,208.26702730475878,6.061274477687289,5.643803708323693,5,5,0,0,0,0,1.0,0.7
clean_base,7592,SEG,0,0.8805194805194805,0.9191973969631236,0.9543918918918919,,4,5,271.42135623730945,278.90663761154804,6.6128256803683705,6.281551798512751,6,9,1,2,0,0,0.0,0.6666666666666666
