dataset,group,id,arm,L,bytes,structure_bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1
UIT,UIT_20,UIT_20_y512x0,SEG,5,,466,12,799.2640687119283,8.915380329756434,26,7,0,9,33,0,0.5714285714285714
UIT,UIT_20,UIT_20_y512x0,SEG,auto,,466,9,762.879292401078,8.910146092465332,17,4,0,9,33,0,0.39999999999999997
UIT,UIT_20,UIT_20_y512x0,GRAPH7,5,7079.0,466,12,799.75,8.901973603920014,26,7,0,9,33,0,0.5714285714285714
UIT,UIT_20,UIT_20_y512x0,GRAPH7,auto,7079.0,466,9,763.25,8.875931971241513,17,4,0,9,33,0,0.39999999999999997
UIT,UIT_20,UIT_20_y512x0,JPEG,5,6918.0,466,11,779.8498551495554,8.87183168283195,23,6,0,7,29,0,0.5
UIT,UIT_20,UIT_20_y512x0,JPEG,auto,6918.0,466,9,768.6072144624359,8.820610944449239,19,5,0,7,29,0,0.5000000000000001
UIT,UIT_20,UIT_20_y512x256,REF,5,,647,15,1270.1828996322963,8.185927550917429,53,21,4,25,47,0,1.0
UIT,UIT_20,UIT_20_y512x256,REF,auto,,647,11,1222.8691911333115,8.229038976794865,42,17,3,25,47,0,1.0
UIT,UIT_20,UIT_20_y512x256,SEG,5,,647,14,1108.1290757631339,8.500047665828468,47,18,3,19,41,0,0.7692307692307692
UIT,UIT_20,UIT_20_y512x256,SEG,auto,,647,12,1082.6437943888952,8.471274672407812,39,15,3,19,41,0,0.7500000000000001
UIT,UIT_20,UIT_20_y512x256,GRAPH7,5,8495.0,647,14,1108.75,8.52507420566525,47,18,3,19,41,0,0.7692307692307692
UIT,UIT_20,UIT_20_y512x256,GRAPH7,auto,8495.0,647,12,1083.25,8.497393053802305,39,15,3,19,41,0,0.7500000000000001
UIT,UIT_20,UIT_20_y512x256,JPEG,5,8369.0,647,16,1114.8864350760148,8.419676589513815,53,20,4,21,45,0,0.7317073170731706
UIT,UIT_20,UIT_20_y512x256,JPEG,auto,8369.0,647,11,1062.6732316404182,8.435198151969681,40,16,4,21,45,0,0.7272727272727272
UIT,UIT_20,UIT_20_y512x512,REF,5,,381,7,705.5828278447966,7.406470536322865,28,11,1,15,27,0,1.0
UIT,UIT_20,UIT_20_y512x512,REF,auto,,381,6,691.5117600329312,7.4044987048861435,25,10,1,15,27,0,1.0
UIT,UIT_20,UIT_20_y512x512,SEG,5,,381,6,659.7127701597078,7.814063779604926,25,10,1,10,20,0,0.9523809523809523
UIT,UIT_20,UIT_20_y512x512,SEG,auto,,381,5,656.8843430349616,7.818918050149371,24,10,1,10,20,0,0.9
UIT,UIT_20,UIT_20_y512x512,GRAPH7,5,4755.0,381,6,659.75,7.825384152037404,25,10,1,10,20,0,0.9523809523809523
UIT,UIT_20,UIT_20_y512x512,GRAPH7,auto,4755.0,381,5,657.0,7.829885379462217,24,10,1,10,20,0,0.9
UIT,UIT_20,UIT_20_y512x512,JPEG,5,4720.0,381,4,645.1564209736038,7.75613388755526,25,11,1,12,18,0,0.9090909090909091
UIT,UIT_20,UIT_20_y512x512,JPEG,auto,4720.0,381,4,637.9137802864842,7.734431037288012,23,10,1,12,18,0,0.9
UIT,UIT_20,UIT_20_y512x768,REF,5,,74,6,154.68124086713192,5.768427592843871,6,0,0,2,14,0,1.0
UIT,UIT_20,UIT_20_y512x768,REF,auto,,74,5,150.2670273047588,5.779403638016696,5,0,0,2,14,0,1.0
